Classe,Luminosité
anis,145.86302354600696
anis,146.1071573893229
anis,163.11226399739584
anis,148.4229532877604
anis,153.5913560655382
anis,150.47656928168402
anis,154.12725830078125
anis,143.3518812391493
anis,136.96333821614584
anis,144.99583604600696
anis,154.0531751844618
anis,119.41145833333333
anis,113.36258951822917
anis,145.03726535373264
anis,148.72783745659723
anis,124.16661241319444
anis,129.86482747395834
anis,123.731689453125
anis,159.53094482421875
anis,154.97275119357639
anis,150.00080023871527
anis,151.5724894205729
anis,149.64825439453125
anis,151.80685085720486
anis,127.72432454427083
anis,147.3621080186632
anis,148.9448988172743
anis,149.40592447916666
anis,150.8588121202257
anis,151.727294921875
anis,148.1748250325521
anis,152.68098958333334
anis,135.2886962890625
anis,135.56408013237848
anis,137.27846950954861
anis,150.4935777452257
anis,153.6865437825521
anis,126.64218478732639
anis,147.9705607096354
anis,142.83180067274304
anis,154.5716078016493
anis,163.5311075846354
anis,159.80853271484375
anis,159.5613267686632
anis,156.70742458767361
anis,149.5422159830729
anis,154.8762953016493
anis,146.27547200520834
anis,154.57291666666666
anis,151.4566175672743
anis,130.91919623480902
anis,132.02657063802084
anis,154.46492513020834
anis,156.32436794704861
anis,154.52830674913196
anis,136.11038547092014
anis,129.29055447048611
anis,147.9597642686632
anis,155.23062472873264
anis,158.23661295572916
anis,157.99286566840277
anis,153.17792426215277
anis,151.4155748155382
anis,151.28760443793402
anis,154.90369330512152
anis,155.78594970703125
anis,157.03621419270834
anis,159.21700032552084
anis,128.03868272569446
anis,129.32770453559027
anis,134.6720445421007
anis,150.18585883246527
anis,158.51348876953125
anis,152.73133680555554
anis,133.86131456163196
anis,144.02210150824652
anis,148.10690646701389
anis,143.8090616861979
anis,146.64942762586804
anis,146.30463324652777
anis,152.24640570746527
anis,151.18539767795139
anis,147.55939398871527
anis,145.4347669813368
anis,128.82889811197916
anis,150.18829345703125
anis,149.0470174153646
anis,121.77297634548611
anis,152.37224663628473
anis,151.65064832899304
anis,131.04674614800348
anis,125.34804958767361
anis,148.8916219075521
anis,142.68170166015625
anis,149.78789605034723
anis,146.6596476236979
anis,135.01011827256946
anis,149.97592502170139
anis,149.82430013020834
anis,149.9800550672743
anis,144.9791463216146
anis,147.05925835503473
anis,155.31212022569446
anis,130.10858154296875
anis,181.30438910590277
anis,155.02610948350696
anis,153.78268771701389
anis,147.35864935980902
anis,125.36072455512152
anis,136.96138509114584
anis,161.19786241319446
anis,142.19922553168402
anis,135.21675618489584
anis,125.24641927083333
anis,132.56292724609375
anis,145.57453070746527
anis,148.38766818576389
anis,148.10462782118054
anis,129.4257337782118
anis,139.64639621310764
anis,120.87546115451389
anis,159.76909722222223
anis,149.2960951063368
anis,155.54893663194446
anis,134.49146185980902
anis,146.90345594618054
anis,149.44977484809027
anis,150.48707411024304
anis,124.86250135633681
anis,147.64069281684027
anis,152.37045627170139
anis,142.15184190538196
anis,135.27599419487848
anis,143.78644476996527
anis,154.22633192274304
anis,120.02220323350694
anis,153.34412977430554
anis,153.5699462890625
anis,183.64690483940973
anis,130.45673285590277
cannelle,122.09539794921875
cannelle,251.08919441666666
cannelle,143.75411224365234
cannelle,236.84344383333334
cannelle,149.9299545288086
cannelle,143.00905227661133
cannelle,135.43778610229492
cannelle,153.67179489135742
cannelle,173.08618927001953
cannelle,166.77251052856445
cannelle,107.09784317016602
cannelle,143.19346237182617
cannelle,177.63924026489258
cannelle,118.98187637329102
cannelle,136.1799430847168
cannelle,148.879638671875
cannelle,119.86228942871094
cannelle,245.36676106770832
cannelle,169.83954238891602
cannelle,159.7355728149414
cannelle,103.21894836425781
cannelle,130.9211196899414
cannelle,133.81775665283203
cannelle,235.9215466101695
cannelle,141.737060546875
cannelle,141.6665153503418
cannelle,133.2493019104004
cannelle,111.2352409362793
cannelle,140.53841400146484
cannelle,237.47840625
cannelle,235.43714704949238
cannelle,244.3296412330795
cannelle,135.8245086669922
cannelle,142.97210311889648
cannelle,228.6648966471354
cannelle,230.06810791015624
cannelle,120.60692977905273
cannelle,141.52934646606445
cannelle,114.19284439086914
cannelle,84.00251770019531
cannelle,150.22483444213867
cannelle,207.83465
cannelle,173.16748809814453
cannelle,246.48260498046875
cannelle,133.3793830871582
cannelle,129.75881576538086
cannelle,168.0209503173828
cannelle,235.59494954427083
cannelle,250.38768385416665
cannelle,196.3537826538086
cannelle,121.34986877441406
cannelle,153.5531768798828
cannelle,89.41030502319336
cannelle,136.47384643554688
cannelle,104.07085800170898
cannelle,119.13301467895508
cannelle,245.30025423728813
cannelle,129.59209442138672
cannelle,131.19343185424805
cannelle,227.91196065989848
cannelle,241.61201625
cannelle,161.92980575561523
cannelle,163.30103302001953
cannelle,156.31426620483398
cannelle,179.86676406860352
cannelle,241.2674122250423
cannelle,106.18704605102539
cannelle,160.3704719543457
cannelle,232.817236328125
cannelle,172.47706604003906
cannelle,113.9178695678711
cannelle,131.29346084594727
cannelle,134.86915969848633
cannelle,128.78760147094727
cannelle,245.263701171875
cannelle,117.44129943847656
cannelle,147.01161193847656
cannelle,181.70197677612305
cannelle,120.1541862487793
cannelle,226.2971182318105
cannelle,243.1254093424479
cannelle,231.5649785850254
cannelle,111.03865051269531
cannelle,112.8636360168457
cannelle,163.28305053710938
cannelle,243.1089249674479
cannelle,130.4741668701172
cannelle,170.47718048095703
cannelle,143.03849029541016
cannelle,116.23962783813477
cannelle,124.97333526611328
cannelle,143.70247650146484
cannelle,174.07732391357422
cannelle,251.15579675
cannelle,151.5301399230957
cannelle,133.83998107910156
cannelle,251.06944883333333
cannelle,167.11555099487305
cannelle,244.28104245981388
cannelle,161.34685897827148
cannelle,117.7802734375
cannelle,123.46366882324219
cannelle,123.26895904541016
cannelle,247.56306325
cannelle,243.68791015625
cannelle,138.58726501464844
cannelle,125.4600601196289
cannelle,134.68756484985352
cannelle,236.8896530720339
cannelle,157.04063034057617
cannelle,103.60862731933594
cannelle,154.1876983642578
cannelle,237.82338785807292
cannelle,121.69929504394531
cannelle,224.2291098244501
cannelle,116.5673599243164
cannelle,122.9117317199707
cannelle,150.33589935302734
cannelle,137.72778701782227
cannelle,167.25089645385742
cannelle,137.75328063964844
cannelle,233.39233183262712
cannelle,243.51436354166665
cannelle,146.02455520629883
cannelle,155.27521514892578
cannelle,124.75983428955078
cannelle,151.11238479614258
cannelle,228.32708645833333
cannelle,119.36484146118164
cannelle,252.67306491666668
cannelle,129.30810928344727
cannelle,174.32765197753906
cannelle,167.5344123840332
cannelle,137.7381362915039
cannelle,125.08056259155273
cannelle,117.16097640991211
cannelle,231.03505208333334
cannelle,117.4561653137207
cannelle,124.56226348876953
cannelle,158.60990142822266
carvi,142.33604600694446
carvi,153.6337415907118
carvi,144.35416666666666
carvi,122.30196126302083
carvi,150.79654269748264
carvi,156.3167521158854
carvi,150.2084757486979
carvi,148.21932644314236
carvi,146.2667236328125
carvi,138.74865044487848
carvi,143.4030015733507
carvi,157.62825520833334
carvi,152.18915473090277
carvi,153.60030110677084
carvi,158.42666286892361
carvi,134.03370496961804
carvi,151.63467068142361
carvi,152.63131374782986
carvi,144.81949869791666
carvi,152.81793891059027
carvi,154.43286810980902
carvi,141.52398003472223
carvi,164.9041002061632
carvi,146.59887017144098
carvi,152.64596896701389
carvi,148.38991970486111
carvi,141.75504557291666
carvi,149.70351833767361
carvi,150.64029269748264
carvi,140.54751247829861
carvi,157.58943684895834
carvi,150.25332980685764
carvi,170.32947455512152
carvi,142.34731716579861
carvi,150.72416178385416
carvi,183.79347059461804
carvi,160.55954318576389
carvi,153.64691162109375
carvi,153.1601359049479
carvi,149.97608100043402
carvi,144.0578138563368
carvi,171.65540228949652
carvi,115.12381998697917
carvi,121.96169026692708
carvi,130.28729248046875
carvi,150.45861138237848
carvi,180.43587239583334
carvi,150.44754367404514
carvi,137.76816134982639
carvi,124.529296875
carvi,124.529296875
carvi,150.2352498372396
carvi,157.5013902452257
carvi,150.2352498372396
carvi,148.25918918185764
carvi,176.40519205729166
carvi,136.14232042100696
carvi,145.16533745659723
carvi,154.14096408420139
carvi,145.5230916341146
carvi,148.39630805121527
carvi,138.13414849175348
carvi,138.49100748697916
carvi,149.27459038628473
